,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
369,11630707.0,B,Misure economiche,4.0,Agevolazioni e contributi
487,11630707.0,C,Informazione e comunicazione,6.0,Comunicazione
227,11630707.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
267,11630707.0,B,Misure economiche,5.0,Benefit e scontistica
15,11630707.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
165,11630707.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
321,11630708.0,C,Informazione e comunicazione,6.0,Comunicazione
79,11630708.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
316,11630708.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
264,11630708.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
373,11630709.0,D,Comunitа educante,8.0,Formazione
40,11630709.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
265,11630709.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
229,11630709.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
244,11630710.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
174,11630710.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
447,11630711.0,B,Misure economiche,5.0,Benefit e scontistica
92,11630711.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
194,11630711.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
482,11630712.0,B,Misure economiche,5.0,Benefit e scontistica
46,11630712.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
325,11630712.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
485,11630712.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
356,11630713.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
10,11630713.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
32,11630714.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
461,11630714.0,C,Informazione e comunicazione,6.0,Comunicazione
68,11630715.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
22,11630716.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
448,11630717.0,B,Misure economiche,5.0,Benefit e scontistica
366,11630717.0,D,Comunitа educante,8.0,Formazione
33,11630717.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
394,11630718.0,B,Misure economiche,5.0,Benefit e scontistica
53,11630718.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
402,11630718.0,C,Informazione e comunicazione,6.0,Comunicazione
